param_Ne	param_log_time_split_AfrEur	param_log_time_admixture	param_log_time_Afr_ex	param_log_severity	param_Ne_Afr_anc	param_Ne_Eur	param_log_Ne_Eur_bn	param_Ne_Ame	param_log_Ne_Ame_bn	param_proportion_admixture
1.54519e+07	5.29643	2.70722	6.5546	0.626012	1.65009e+07	7.30949e+06	4.27997	1.84163e+07	3.07047	0.850815
1.71952e+07	5.46824	3.66256	6.62106	1.85846	1.55368e+07	9.33778e+06	4.46464	8.52978e+06	4.65364	0.537899
1.88029e+07	5.22665	2.13037	6.42048	1.41173	1.92545e+07	5.79292e+06	4.95925	6.5159e+06	2.94464	0.646927
6.7281e+06	5.33083	2.56292	6.39815	0.500863	7.72525e+06	3.16705e+06	4.63098	2.19157e+06	3.92908	0.878492
1.26761e+07	5.04599	3.31464	6.38359	-1.1452	703544	5.54165e+06	4.09391	2.67778e+07	4.03422	0.905968
1.52667e+07	4.94552	2.12071	6.48684	1.47711	1.65087e+07	6.23864e+06	4.04153	4.84228e+06	3.29541	0.626173
9.11727e+06	4.98682	3.33073	6.51678	1.28143	1.47043e+06	5.81355e+06	3.80346	1.30175e+07	2.46178	0.262202
7.64875e+06	6.14446	2.26426	6.32093	-0.897872	1.58508e+06	9.19032e+06	4.60761	9.76682e+06	4.50133	0.881308
4.02491e+06	5.68884	2.20531	6.13785	-0.527209	4.12358e+06	5.07379e+06	4.90801	2.0053e+07	4.18941	0.861257
3.15016e+06	5.6153	3.29209	5.97115	-1.55339	3.29029e+06	6.64254e+06	4.81424	1.45888e+07	2.34319	0.369249
5.39375e+06	5.13421	2.85983	6.94459	0.8192	4.25223e+06	5.21688e+06	4.05144	3.41468e+06	3.98532	0.893086
1.0384e+07	4.52807	2.4542	6.71814	1.30058	6.97682e+06	2.74907e+06	4.05323	1.82837e+07	3.2535	0.903004
8.08501e+06	4.35018	3.03787	6.19365	0.055079	4.64327e+06	7.84634e+06	3.222	2.78678e+07	4.1198	0.839334
1.89267e+07	4.8738	3.77077	6.44893	-0.699881	1.4981e+06	826772	4.47249	6.32476e+06	3.05461	0.141942
1.60551e+07	4.39196	2.10202	6.12305	-1.78054	2.55867e+06	6.44395e+06	3.81697	2.55453e+07	2.20702	0.732607
1.18436e+07	4.00647	3.5321	6.53687	1.56915	1.09866e+07	848893	3.60698	7.35804e+06	3.08277	0.495863
1.6545e+07	5.86345	2.51625	6.56209	0.799118	1.74323e+07	6.51378e+06	4.74348	3.65281e+06	4.72655	0.693398
1.25343e+07	4.62552	2.45533	6.48756	0.632255	7.64258e+06	2.52637e+06	4.17726	7.79628e+06	2.62918	0.686241
1.58606e+07	5.51092	2.96444	6.4896	1.37062	4.5919e+06	5.53893e+06	4.94857	2.9854e+07	3.06002	0.844503
